,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,n_pgs,max_legs
0,0.5526315789473685,-4.44,85,190,272,50,4,0,22,0.14985275268554688,line,simp_pyzx,10,1.0
1,0.531578947368421,-4.8,89,190,290,50,4,0,65,0.5881521701812744,line,pyzx_fast,10,1.0
2,0.5157894736842106,0.0,92,190,50,50,4,0,0,0.05531120300292969,line,divide_fast,10,1.0
3,0.5214285714285715,-4.98,67,140,299,50,4,0,31,0.08851003646850586,circle,simp_pyzx,10,1.0
4,0.38571428571428573,-5.7,86,140,335,50,4,0,0,0.13881206512451172,circle,pyzx_fast,10,1.0
5,0.4142857142857143,0.1,82,140,45,50,4,0,0,0.04004502296447754,circle,divide_fast,10,1.0
6,0.5,-4.68,55,110,284,50,4,0,0,0.08864593505859375,fully_connected,simp_pyzx,10,1.0
7,0.5454545454545454,-5.12,50,110,306,50,4,0,0,0.13075613975524902,fully_connected,pyzx_fast,10,1.0
8,0.2727272727272727,-0.1,80,110,55,50,4,0,0,0.04442429542541504,fully_connected,divide_fast,10,1.0
9,0.26346153846153847,-6.726666666666667,383,520,1159,150,4,0,262,0.26767683029174805,line,simp_pyzx,30,1.0
10,0.225,-6.84,403,520,1176,150,4,0,254,0.5660197734832764,line,pyzx_fast,30,1.0
11,0.4153846153846154,0.1,304,520,135,150,4,0,0,0.18372201919555664,line,divide_fast,30,1.0
12,0.475,-5.246666666666667,252,480,937,150,4,0,125,0.28557801246643066,circle,simp_pyzx,30,1.0
13,0.44166666666666665,-5.6066666666666665,268,480,991,150,4,0,138,0.4268679618835449,circle,pyzx_fast,30,1.0
14,0.44166666666666665,0.16666666666666666,268,480,125,150,4,0,0,0.14925408363342285,circle,divide_fast,30,1.0
15,0.714,-5.22,143,500,933,150,4,0,0,0.24988412857055664,fully_connected,simp_pyzx,30,1.0
16,0.714,-5.213333333333333,143,500,932,150,4,0,0,0.3079061508178711,fully_connected,pyzx_fast,30,1.0
17,0.728,0.16666666666666666,136,500,125,150,4,0,0,0.12301182746887207,fully_connected,divide_fast,30,1.0
18,0.432,-5.048,568,1000,1512,250,4,0,169,0.36303281784057617,line,simp_pyzx,50,1.0
19,0.395,-4.992,605,1000,1498,250,4,0,394,0.5558619499206543,line,pyzx_fast,50,1.0
20,0.582,0.3,418,1000,175,250,4,0,0,0.28405284881591797,line,divide_fast,50,1.0
21,0.5670886075949367,-4.868,342,790,1467,250,4,0,170,0.4286811351776123,circle,simp_pyzx,50,1.0
22,0.5481012658227848,-5.032,357,790,1508,250,4,0,0,0.5824110507965088,circle,pyzx_fast,50,1.0
23,0.5886075949367089,0.24,325,790,190,250,4,0,0,0.18065619468688965,circle,divide_fast,50,1.0
24,0.7388888888888889,-4.516,188,720,1379,250,4,0,0,0.3157799243927002,fully_connected,simp_pyzx,50,1.0
25,0.7208333333333333,-4.78,201,720,1445,250,4,0,0,0.4447600841522217,fully_connected,pyzx_fast,50,1.0
26,0.6583333333333333,0.32,246,720,170,250,4,0,0,0.15288782119750977,fully_connected,divide_fast,50,1.0
27,0.4342857142857143,-4.585714285714285,792,1400,1955,350,4,0,251,0.5714588165283203,line,simp_pyzx,70,1.0
