,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,p_edge,circ_reps
0,0.0,0.0,8,8,8,8,4,0,0,0.3902618885040283,fully_connected,divide_fast,0.5,1
1,-0.5,0.0,12,8,8,8,4,0,0,1.5079491138458252,fully_connected,pauli_opt,0.5,1
2,-0.875,-13.0,15,8,112,8,4,0,0,0.07320809364318848,fully_connected,pyzx,0.5,1
3,0.25,-2.5,6,8,28,8,4,0,0,0.023710250854492188,fully_connected,tket,0.5,1
4,0.0,0.0,6,6,7,7,4,1,0,0.01402902603149414,fully_connected,divide_fast,0.5,1
5,-0.6666666666666666,0.0,10,6,7,7,4,1,0,1.579916000366211,fully_connected,pauli_opt,0.5,1
6,-0.5,-9.285714285714286,9,6,72,7,4,1,0,0.029348134994506836,fully_connected,pyzx,0.5,1
7,0.3333333333333333,-2.857142857142857,4,6,27,7,4,1,0,0.007879972457885742,fully_connected,tket,0.5,1
8,0.0,0.0,6,6,7,7,4,2,0,0.012874126434326172,fully_connected,divide_fast,0.5,1
9,0.0,0.0,6,6,7,7,4,2,0,1.5773849487304688,fully_connected,pauli_opt,0.5,1
10,0.0,-9.428571428571429,6,6,73,7,4,2,0,0.011201143264770508,fully_connected,pyzx,0.5,1
11,0.0,-2.857142857142857,6,6,27,7,4,2,0,0.005333900451660156,fully_connected,tket,0.5,1
12,0.0,0.0,4,4,6,6,4,3,0,0.012351036071777344,fully_connected,divide_fast,0.5,1
13,0.0,0.0,4,4,6,6,4,3,0,1.4438307285308838,fully_connected,pauli_opt,0.5,1
14,0.0,-8.666666666666666,4,4,58,6,4,3,0,0.009138822555541992,fully_connected,pyzx,0.5,1
15,0.0,-3.3333333333333335,4,4,26,6,4,3,0,0.004754781723022461,fully_connected,tket,0.5,1
16,0.0,0.0,6,6,7,7,4,4,0,0.012887001037597656,fully_connected,divide_fast,0.5,1
17,-0.3333333333333333,0.0,8,6,7,7,4,4,0,1.4158129692077637,fully_connected,pauli_opt,0.5,1
18,-0.5,-9.285714285714286,9,6,72,7,4,4,0,0.01136326789855957,fully_connected,pyzx,0.5,1
19,0.3333333333333333,-2.857142857142857,4,6,27,7,4,4,0,0.005010128021240234,fully_connected,tket,0.5,1
20,0.0,0.0,6,6,7,7,4,5,0,0.012817859649658203,fully_connected,divide_fast,0.5,1
21,-0.3333333333333333,0.0,8,6,7,7,4,5,0,1.4557089805603027,fully_connected,pauli_opt,0.5,1
22,-1.0,-12.142857142857142,12,6,92,7,4,5,0,0.012833118438720703,fully_connected,pyzx,0.5,1
23,-0.3333333333333333,-3.0,8,6,28,7,4,5,0,0.005887031555175781,fully_connected,tket,0.5,1
24,0.0,0.0,6,6,7,7,4,6,0,0.012716054916381836,fully_connected,divide_fast,0.5,1
25,-0.3333333333333333,0.0,8,6,7,7,4,6,0,1.416867733001709,fully_connected,pauli_opt,0.5,1
26,-0.5,-9.285714285714286,9,6,72,7,4,6,0,0.011083841323852539,fully_connected,pyzx,0.5,1
27,0.3333333333333333,-2.857142857142857,4,6,27,7,4,6,0,0.005059003829956055,fully_connected,tket,0.5,1
28,0.0,0.0,8,8,8,8,4,7,0,0.013758182525634766,fully_connected,divide_fast,0.5,1
29,-0.5,0.0,12,8,8,8,4,7,0,1.7380590438842773,fully_connected,pauli_opt,0.5,1
30,-0.875,-13.0,15,8,112,8,4,7,0,0.017724990844726562,fully_connected,pyzx,0.5,1
31,0.25,-2.375,6,8,27,8,4,7,0,0.005691051483154297,fully_connected,tket,0.5,1
32,0.0,0.0,12,12,10,10,4,8,0,0.0198211669921875,fully_connected,divide_fast,0.5,1
33,-0.16666666666666666,0.0,14,12,10,10,4,8,0,1.6936557292938232,fully_connected,pauli_opt,0.5,1
34,0.0,-7.5,12,12,85,10,4,8,0,0.014901161193847656,fully_connected,pyzx,0.5,1
35,0.5,-1.9,6,12,29,10,4,8,0,0.005723714828491211,fully_connected,tket,0.5,1
36,0.0,0.0,4,4,6,6,4,9,0,0.011793136596679688,fully_connected,divide_fast,0.5,1
37,-1.0,0.0,8,4,6,6,4,9,0,1.356846809387207,fully_connected,pauli_opt,0.5,1
38,0.0,-8.666666666666666,4,4,58,6,4,9,0,0.008919954299926758,fully_connected,pyzx,0.5,1
39,0.0,-3.3333333333333335,4,4,26,6,4,9,0,0.004830837249755859,fully_connected,tket,0.5,1
40,0.0,0.0,4,4,6,6,4,10,0,0.011634111404418945,fully_connected,divide_fast,0.5,1
41,-0.5,0.0,6,4,6,6,4,10,0,1.3927011489868164,fully_connected,pauli_opt,0.5,1
42,0.0,-8.666666666666666,4,4,58,6,4,10,0,0.009063243865966797,fully_connected,pyzx,0.5,1
43,0.0,-3.3333333333333335,4,4,26,6,4,10,0,0.005081892013549805,fully_connected,tket,0.5,1
44,0.0,0.0,6,6,7,7,4,11,0,0.012669086456298828,fully_connected,divide_fast,0.5,1
45,-0.6666666666666666,0.0,10,6,7,7,4,11,0,1.5239839553833008,fully_connected,pauli_opt,0.5,1
46,-1.0,-12.142857142857142,12,6,92,7,4,11,0,0.01254892349243164,fully_connected,pyzx,0.5,1
47,-0.3333333333333333,-3.0,8,6,28,7,4,11,0,0.005530118942260742,fully_connected,tket,0.5,1
48,0.0,0.0,8,8,8,8,4,12,0,0.013751029968261719,fully_connected,divide_fast,0.5,1
49,-0.25,0.0,10,8,8,8,4,12,0,1.6925499439239502,fully_connected,pauli_opt,0.5,1
50,-0.875,-13.0,15,8,112,8,4,12,0,0.015048980712890625,fully_connected,pyzx,0.5,1
51,0.25,-2.5,6,8,28,8,4,12,0,0.0055999755859375,fully_connected,tket,0.5,1
52,0.0,0.0,8,8,8,8,4,13,0,0.013715982437133789,fully_connected,divide_fast,0.5,1
53,-0.25,0.0,10,8,8,8,4,13,0,1.4403760433197021,fully_connected,pauli_opt,0.5,1
54,-0.5,-10.125,12,8,89,8,4,13,0,0.013358116149902344,fully_connected,pyzx,0.5,1
55,0.0,-2.375,8,8,27,8,4,13,0,0.006696939468383789,fully_connected,tket,0.5,1
56,0.0,0.0,4,4,6,6,4,14,0,0.01185297966003418,fully_connected,divide_fast,0.5,1
57,-0.5,0.0,6,4,6,6,4,14,0,1.5858268737792969,fully_connected,pauli_opt,0.5,1
58,-1.5,-11.833333333333334,10,4,77,6,4,14,0,0.011264562606811523,fully_connected,pyzx,0.5,1
59,0.0,-3.3333333333333335,4,4,26,6,4,14,0,0.005188703536987305,fully_connected,tket,0.5,1
60,0.0,0.0,8,8,8,8,4,15,0,0.013944149017333984,fully_connected,divide_fast,0.5,1
61,-0.5,0.0,12,8,8,8,4,15,0,1.5594587326049805,fully_connected,pauli_opt,0.5,1
62,-1.0,-12.875,16,8,111,8,4,15,0,0.015032052993774414,fully_connected,pyzx,0.5,1
63,-0.25,-2.625,10,8,29,8,4,15,0,0.006101846694946289,fully_connected,tket,0.5,1
64,0.0,0.0,4,4,6,6,4,16,0,0.011567831039428711,fully_connected,divide_fast,0.5,1
65,-1.5,0.0,10,4,6,6,4,16,0,1.404545783996582,fully_connected,pauli_opt,0.5,1
66,0.0,-8.666666666666666,4,4,58,6,4,16,0,0.009225130081176758,fully_connected,pyzx,0.5,1
67,0.0,-3.3333333333333335,4,4,26,6,4,16,0,0.006587982177734375,fully_connected,tket,0.5,1
68,0.0,0.0,6,6,7,7,4,17,0,0.012862920761108398,fully_connected,divide_fast,0.5,1
69,0.0,0.0,6,6,7,7,4,17,0,1.4013423919677734,fully_connected,pauli_opt,0.5,1
70,-1.6666666666666667,-15.714285714285714,16,6,117,7,4,17,0,0.01481008529663086,fully_connected,pyzx,0.5,1
71,0.0,-2.857142857142857,6,6,27,7,4,17,0,0.0052297115325927734,fully_connected,tket,0.5,1
72,0.0,0.0,6,6,7,7,4,18,0,0.013821125030517578,fully_connected,divide_fast,0.5,1
73,0.0,0.0,6,6,7,7,4,18,0,1.408310890197754,fully_connected,pauli_opt,0.5,1
74,-0.5,-9.285714285714286,9,6,72,7,4,18,0,0.011222124099731445,fully_connected,pyzx,0.5,1
75,0.3333333333333333,-2.857142857142857,4,6,27,7,4,18,0,0.006174802780151367,fully_connected,tket,0.5,1
76,0.0,0.0,8,8,8,8,4,19,0,0.01686882972717285,fully_connected,divide_fast,0.5,1
77,-0.5,0.0,12,8,8,8,4,19,0,1.4487419128417969,fully_connected,pauli_opt,0.5,1
78,-0.5,-10.125,12,8,89,8,4,19,0,0.01303410530090332,fully_connected,pyzx,0.5,1
79,0.0,-2.375,8,8,27,8,4,19,0,0.00558018684387207,fully_connected,tket,0.5,1
80,0.375,0.0,10,16,8,8,4,0,0,0.014558076858520508,square,divide_fast,0.5,1
81,0.25,0.0,12,16,8,8,4,0,0,1.4750618934631348,square,pauli_opt,0.5,1
82,-0.5,-13.0,24,16,112,8,4,0,13,0.01906871795654297,square,pyzx,0.5,1
83,0.625,-2.375,6,16,27,8,4,0,4,0.005167961120605469,square,tket,0.5,1
84,0.2,0.0,8,10,7,7,4,1,0,0.013036966323852539,square,divide_fast,0.5,1
85,0.2,0.0,8,10,7,7,4,1,0,1.3741960525512695,square,pauli_opt,0.5,1
86,-0.8,-9.285714285714286,18,10,72,7,4,1,7,0.012744903564453125,square,pyzx,0.5,1
87,0.6,-2.857142857142857,4,10,27,7,4,1,2,0.004863262176513672,square,tket,0.5,1
88,0.0,0.0,6,6,5,5,4,2,0,0.009356021881103516,square,divide_fast,0.5,1
89,0.3333333333333333,0.0,4,6,5,5,4,2,0,1.3546421527862549,square,pauli_opt,0.5,1
90,0.6666666666666666,-7.6,2,6,43,5,4,2,2,0.007960081100463867,square,pyzx,0.5,1
91,0.6666666666666666,-4.0,2,6,25,5,4,2,2,0.0042002201080322266,square,tket,0.5,1
92,0.25,0.0,6,8,6,6,4,3,0,0.011928081512451172,square,divide_fast,0.5,1
93,0.25,0.0,6,8,6,6,4,3,0,1.413578987121582,square,pauli_opt,0.5,1
94,0.5,-8.666666666666666,4,8,58,6,4,3,2,0.009122848510742188,square,pyzx,0.5,1
